sku,name,description,short_description,attr_desc_features,attr_desc_supplement
"sdi_1568","219 Corpus - Wood Carved","<body><p>219 Corpus - Wood Carved Corpus - From Demetz Art Studio in Italy Hand Carved in Linden Wood. Available in multiple sizes and different shades of brown. </p><p><strong>Available Standard Sizes:</strong></p><ul><li><strong>Wood - 2', 3', 4', 5', 6'<br><br><em>Please <a target=""_blank"" href=""static/static_aboutus.asp"">Contact</a> Us For Pricing and More Information (Prices Range From $2,057 to $11,660) .</em></strong></li></ul><p><strong>Custom Works:</strong><br></p><ul><li>Many pieces can be customized with different colors, sizes and artwork.<a target=""_blank"" href=""static/demetz.asp"">To learn more about Demetz and the wood carving process click here</a>.</li><li>All Demetz artwork can be sculpted in wood, bronze, marble or made into a mosaic. </li><li>ChurchSupplyWarehouse specializes in custom projects, if you can dream it we can make it.<a target=""_blank"" href=""http://www.churchsupplywarehouse.com/catalog_subcategory.asp_Q_categoryId_E_88""><em>(click here to view recent custom projects)</em></a></li><li>If the statue is listed as available in fiberglass some finishes are suitable for outdoor use.<a target=""_blank"" href=""images/static/fiberglass.jpg""><em>(click here to view available finishes)</em></a><br></li></ul><p><em><a target=""_blank"" href=""pdf/woodcarvings.pdf"">Click here to download our print catalog of Italian wood carved statues by Demetz in .pdf format</a>.(Requires<a target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html"">Acrobat reader</a> ,a free download) </em></p><p><a title=""Get Acrobat Reader"" target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html""><img height=""31"" src=""images/DescriptionImages/getacro.gif"" width=""88"" border=""0""></a></p><p><em>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. These statues are hand carved and painted in Italy and usually ship in 3 to 4 months. Please contact us for more information.</em><br></p></body>","219 Wood Carved Corpus - Click Image For More Details.","","Copyright Demetz Art Studio"
"sdi_1569","290-5 Crucifix  - Wood Carved","<body><p>290/5 San Damiano Cross - Wood Carved Crucifix - From Demetz Art Studio in Italy Hand Carved in Linden Wood, richly polychromed and gold leafed. Byzantine Cross with carved border, artistically hand painted and gilded. Available in multiple sizes. </p><p><strong>Available Standard Sizes:</strong></p><ul><li><strong>Wood (Corpus/Cross) - 16""/2', 2'/3'2"", 3'/4'8"", 4'/6'6"", 6'/10'<br><br><em>Please <a target=""_blank"" href=""static/static_aboutus.asp"">Contact</a> Us For Pricing and More Information (Prices Range From $4,290 to $22,990) .</em></strong></li></ul><p><strong>Custom Works:</strong><br></p><ul><li>Many pieces can be customized with different colors, sizes and artwork.<a target=""_blank"" href=""static/demetz.asp"">To learn more about Demetz and the wood carving process click here</a>.</li><li>All Demetz artwork can be sculpted in wood, bronze, marble or made into a mosaic. </li><li>ChurchSupplyWarehouse specializes in custom projects, if you can dream it we can make it.<a target=""_blank"" href=""http://www.churchsupplywarehouse.com/catalog_subcategory.asp_Q_categoryId_E_88""><em>(click here to view recent custom projects)</em></a></li><li>If the statue is listed as available in fiberglass some finishes are suitable for outdoor use.<a target=""_blank"" href=""images/static/fiberglass.jpg""><em>(click here to view available finishes)</em></a><br></li></ul><p><em><a target=""_blank"" href=""pdf/woodcarvings.pdf"">Click here to download our print catalog of Italian wood carved statues by Demetz in .pdf format</a>.(Requires<a target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html"">Acrobat reader</a> ,a free download) </em></p><p><a title=""Get Acrobat Reader"" target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html""><img height=""31"" src=""images/DescriptionImages/getacro.gif"" width=""88"" border=""0""></a></p><p><em>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. These statues are hand carved and painted in Italy and usually ship in 3 to 4 months. Please contact us for more information.</em><br></p></body>","290/5 Wood Carved San Damiano Crucifix - Click Image For More Details.","","Copyright Demetz Art Studio"
"17/101","17/101 Institutional Crucifix","Rustic wood cross with stunning silver plated corpus. 27"" height.","Crucifix - Click Image for Details.","",""
"sdi_1570","300-7 Corpus - Wood Carved","<body><p>300/7 Corpus Gift of the Spirit - Wood Carved Corpus - From Demetz Art Studio in Italy Hand Carved in Linden Wood. Available in multiple sizes and in fiberglass. </p><p><strong>Available Standard Sizes:</strong></p><ul><li><strong>Wood - 4', 6'</strong>  </li><li><strong>Fiberglass - 4'<br><br><em>Please <a target=""_blank"" href=""static/static_aboutus.asp"">Contact</a> Us For Pricing and More Information (Prices Range From $4,356 to $13,420) .</em></strong></li></ul><p><strong>Custom Works:</strong><br></p><ul><li>Many pieces can be customized with different colors, sizes and artwork.<a target=""_blank"" href=""static/demetz.asp"">To learn more about Demetz and the wood carving process click here</a>.</li><li>All Demetz artwork can be sculpted in wood, bronze, marble or made into a mosaic. </li><li>ChurchSupplyWarehouse specializes in custom projects, if you can dream it we can make it.<a target=""_blank"" href=""http://www.churchsupplywarehouse.com/catalog_subcategory.asp_Q_categoryId_E_88""><em>(click here to view recent custom projects)</em></a></li><li>If the statue is listed as available in fiberglass some finishes are suitable for outdoor use.<a target=""_blank"" href=""images/static/fiberglass.jpg""><em>(click here to view available finishes)</em></a><br></li></ul><p><em><a target=""_blank"" href=""pdf/woodcarvings.pdf"">Click here to download our print catalog of Italian wood carved statues by Demetz in .pdf format</a>.(Requires<a target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html"">Acrobat reader</a> ,a free download) </em></p><p><a title=""Get Acrobat Reader"" target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html""><img height=""31"" src=""images/DescriptionImages/getacro.gif"" width=""88"" border=""0""></a></p><p><em>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. These statues are hand carved and painted in Italy and usually ship in 3 to 4 months. Please contact us for more information.</em><br></p></body>","300/7 Wood Carved Corpus, Gift of the Spirit - Click Image For More Details.","","Copyright Demetz Art Studio"
"sdi_1571","290-4 Corpus - Wood Carved","<body><p>290/4 Corpus African Features - Wood Carved Corpus - From Demetz Art Studio in Italy Hand Carved in Linden Wood. Available in multiple sizes.</p><p><strong>Available Standard Sizes:</strong></p><ul><li><strong>Wood - 2', 3'<br><br><em>Please <a target=""_blank"" href=""static/static_aboutus.asp"">Contact</a> Us For Pricing and More Information (Prices Range From $2,057 to $3,410) .</em></strong></li></ul><p><strong>Custom Works:</strong><br></p><ul><li>Many pieces can be customized with different colors, sizes and artwork.<a target=""_blank"" href=""static/demetz.asp"">To learn more about Demetz and the wood carving process click here</a>.</li><li>All Demetz artwork can be sculpted in wood, bronze, marble or made into a mosaic. </li><li>ChurchSupplyWarehouse specializes in custom projects, if you can dream it we can make it.<a target=""_blank"" href=""http://www.churchsupplywarehouse.com/catalog_subcategory.asp_Q_categoryId_E_88""><em>(click here to view recent custom projects)</em></a></li><li>If the statue is listed as available in fiberglass some finishes are suitable for outdoor use.<a target=""_blank"" href=""images/static/fiberglass.jpg""><em>(click here to view available finishes)</em></a><br></li></ul><p><em><a target=""_blank"" href=""pdf/woodcarvings.pdf"">Click here to download our print catalog of Italian wood carved statues by Demetz in .pdf format</a>.(Requires<a target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html"">Acrobat reader</a> ,a free download) </em></p><p><a title=""Get Acrobat Reader"" target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html""><img height=""31"" src=""images/DescriptionImages/getacro.gif"" width=""88"" border=""0""></a></p><p><em>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. These statues are hand carved and painted in Italy and usually ship in 3 to 4 months. Please contact us for more information.</em><br></p></body>","290/4 Wood Carved Corpus, Black features - Click Image For More Details.","","Copyright Demetz Art Studio"
"MJ4242-4ft","MJ4242 Icon Wall Cross","Icon Style Wall Cross<P>Cut from High Density Urethane (HDU) and finished in bronze for indoor or outdoor use. Finished in bronze. Also available in solid wood, which is not recommended for outdoor use. Please call for additional information.","Icon Style Wall Cross - Click Image For Details","","Due to the size of these pieces they will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. Please call for a quote @ 800-837-4974."
"sdi_1572","280-29-BF Risen Christ - Wood Carved","<body><p>280/29BF Risen Christ African Features - Wood Carved Statue - From Demetz Art Studio in Italy Hand Carved in Linden Wood, 3/4 relief, shown in traditional colors. Available in multiple sizes and in fiberglass. </p><p><strong>Available Standard Sizes:</strong></p><ul><li><strong>Wood - 2', 3'</strong></li><li><strong>Fiberglass - 3'<br><br><em>Please <a target=""_blank"" href=""static/static_aboutus.asp"">Contact</a> Us For Pricing and More Information (Prices Range From $1,782 to $3,289) .</em></strong></li></ul><p><strong>Custom Works:</strong><br></p><ul><li>Many pieces can be customized with different colors, sizes and artwork.<a target=""_blank"" href=""static/demetz.asp"">To learn more about Demetz and the wood carving process click here</a>.</li><li>All Demetz artwork can be sculpted in wood, bronze, marble or made into a mosaic. </li><li>ChurchSupplyWarehouse specializes in custom projects, if you can dream it we can make it.<a target=""_blank"" href=""http://www.churchsupplywarehouse.com/catalog_subcategory.asp_Q_categoryId_E_88""><em>(click here to view recent custom projects)</em></a></li><li>If the statue is listed as available in fiberglass some finishes are suitable for outdoor use.<a target=""_blank"" href=""images/static/fiberglass.jpg""><em>(click here to view available finishes)</em></a><br></li></ul><p><em><a target=""_blank"" href=""pdf/woodcarvings.pdf"">Click here to download our print catalog of Italian wood carved statues by Demetz in .pdf format</a>.(Requires<a target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html"">Acrobat reader</a> ,a free download) </em></p><p><a title=""Get Acrobat Reader"" target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html""><img height=""31"" src=""images/DescriptionImages/getacro.gif"" width=""88"" border=""0""></a></p><p><em>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. These statues are hand carved and painted in Italy and usually ship in 3 to 4 months. Please contact us for more information.</em><br></p></body>","280-29-BF Risen Christ - Wood Carved, Black features - Click Image For More Details.","","Copyright Demetz Art Studio"
"sdi_1573","280-62 Risen Christ - Wood Carved","<body><p>280/62 Risen Christ - With Background Cross - Fiberglass Carved Crucifix - From Demetz Art Studio in Italy Hand Carved in Fiberglass, 3/4 relief, shown in traditional colors. Available in multiple sizes.</p><p><strong>Available Standard Sizes:</strong></p><ul><li><strong>Fiberglass (Corpus/Cross) - 4'/6', 6'/9'<br><br><em>Please <a target=""_blank"" href=""static/static_aboutus.asp"">Contact</a> Us For Pricing and More Information (Prices Range From $4,070 to $11,990) .</em></strong></li></ul><p><strong>Custom Works:</strong><br></p><ul><li>Many pieces can be customized with different colors, sizes and artwork.<a target=""_blank"" href=""static/demetz.asp"">To learn more about Demetz and the wood carving process click here</a>.</li><li>All Demetz artwork can be sculpted in wood, bronze, marble or made into a mosaic. </li><li>ChurchSupplyWarehouse specializes in custom projects, if you can dream it we can make it.<a target=""_blank"" href=""http://www.churchsupplywarehouse.com/catalog_subcategory.asp_Q_categoryId_E_88""><em>(click here to view recent custom projects)</em></a></li><li>If the statue is listed as available in fiberglass some finishes are suitable for outdoor use.<a target=""_blank"" href=""images/static/fiberglass.jpg""><em>(click here to view available finishes)</em></a><br></li></ul><p><em><a target=""_blank"" href=""pdf/woodcarvings.pdf"">Click here to download our print catalog of Italian wood carved statues by Demetz in .pdf format</a>.(Requires<a target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html"">Acrobat reader</a> ,a free download) </em></p><p><a title=""Get Acrobat Reader"" target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html""><img height=""31"" src=""images/DescriptionImages/getacro.gif"" width=""88"" border=""0""></a></p><p><em>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. These statues are hand carved and painted in Italy and usually ship in 3 to 4 months. Please contact us for more information.</em><br></p></body>","280-62 Risen Christ, 3/4 Relief - Wood Carved - Click Image For More Details.","","Copyright Demetz Art Studio"
"MJ4242-10ft","MJ4242 Icon Wall Cross","Icon Style Wall Cross<P>Cut from High Density Urethane (HDU) and finished in bronze for indoor or outdoor use. Finished in bronze. Also available in solid wood, which is not recommended for outdoor use. Please call for additional information.","Icon Style Wall Cross - Click Image For Details","","Due to the size of these pieces they will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. Please call for a quote @ 800-837-4974."
"sdi_1574","280-29 Risen Christ - Wood Carved","<body><p>280/29 Risen Christ - Wood Carved Statue - From Demetz Art Studio in Italy Hand Carved in Linden Wood, 3/4 relief, shown in traditional colors or stained in different shades of brown. Available in multiple sizes and in fiberglass. </p><p><strong>Available Standard Sizes:</strong></p><ul><li><strong>Wood - 16"", 2', 30"", 3', 3'6"", 4',  5', 6', 7', 8'</strong></li><li><strong>Fiberglass - 12"", 16"", 24"", 30"", 3', 4', 5', 6', 7', 8', 10'<br><br><em>Please <a target=""_blank"" href=""static/static_aboutus.asp"">Contact</a> Us For Pricing and More Information (Prices Range From $308 to $19,360) .</em></strong></li></ul><p><strong>Custom Works:</strong><br></p><ul><li>Many pieces can be customized with different colors, sizes and artwork.<a target=""_blank"" href=""static/demetz.asp"">To learn more about Demetz and the wood carving process click here</a>.</li><li>All Demetz artwork can be sculpted in wood, bronze, marble or made into a mosaic. </li><li>ChurchSupplyWarehouse specializes in custom projects, if you can dream it we can make it.<a target=""_blank"" href=""http://www.churchsupplywarehouse.com/catalog_subcategory.asp_Q_categoryId_E_88""><em>(click here to view recent custom projects)</em></a></li><li>If the statue is listed as available in fiberglass some finishes are suitable for outdoor use.<a target=""_blank"" href=""images/static/fiberglass.jpg""><em>(click here to view available finishes)</em></a><br></li></ul><p><em><a target=""_blank"" href=""pdf/woodcarvings.pdf"">Click here to download our print catalog of Italian wood carved statues by Demetz in .pdf format</a>.(Requires<a target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html"">Acrobat reader</a> ,a free download) </em></p><p><a title=""Get Acrobat Reader"" target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html""><img height=""31"" src=""images/DescriptionImages/getacro.gif"" width=""88"" border=""0""></a></p><p><em>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. These statues are hand carved and painted in Italy and usually ship in 3 to 4 months. Please contact us for more information.</em><br></p></body>","280-29 Risen Christ, 3/4 Relief - Wood Carved - Click Image For More Details.","","Copyright Demetz Art Studio"
